tool		GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)
run set		genmc-tso.r01.unreach-call	genmc-tso.r01.unreach-call	genmc-tso.r01.unreach-call	genmc-tso.r01.unreach-call	cat-tso.r01.unreach-call	cat-tso.r01.unreach-call	cat-tso.r01.unreach-call	cat-tso.r01.unreach-call	caat-tso.r01.unreach-call	caat-tso.r01.unreach-call	caat-tso.r01.unreach-call	caat-tso.r01.unreach-call
/Users/sujie/Documents/Codes/C++/GenMC/genmc/optimization-analysis/svcomp2026/remote-results/tso/sv-benchmarks/c/		status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)
goblint-regression/13-privatized_66-mine-W-init_true.yml	true	true	0.030686	0.031534332083538175	25.825280	true	0.032113	0.04258035309612751	26.095616	true	0.032608	0.04343652492389083	26.112000
goblint-regression/36-apron_41-threadenter-no-locals_unknown_1_pos.yml	false	false(unreach-call)	0.046056	0.06179035012610257	25.837568	false(unreach-call)	0.045192	0.0645907879807055	26.099712	false(unreach-call)	0.045927	0.060648232931271195	26.152960
goblint-regression/36-apron_16-traces-unprot2_true.yml	true	true	0.044007	0.05940471403300762	25.833472	true	0.04344	0.05664616893045604	26.103808	true	0.045959	0.05860294494777918	26.112000
goblint-regression/13-privatized_57-singlethreaded-unlock_true.yml	true	true	0.0457	0.061423348961398005	25.858048	true	0.046383	0.06612198590300977	26.148864	true	0.046724	0.060400774935260415	26.157056
goblint-regression/13-privatized_47-refine-protected2_true.yml	true	true	0.045993	0.05360178998671472	25.862144	true	0.046545	0.06133634992875159	26.152960	true	0.045127	0.05868153483606875	26.161152
goblint-regression/13-privatized_46-refine-protected1_true.yml	true	true	0.045821	0.07472818903625011	25.858048	true	0.046237	0.06407179497182369	26.148864	true	0.045306	0.06116511416621506	26.144768
goblint-regression/36-apron_11-traces-max-simple_true.yml	true	true	0.045776	0.06003839196637273	25.886720	true	0.046576	0.0618872179184109	26.144768	true	0.044618	0.05847982200793922	26.173440
goblint-regression/13-privatized_41-traces-ex-7_unknown_1_pos.yml	false	false(unreach-call)	0.045118	0.0541598959825933	25.870336	false(unreach-call)	0.046662	0.06698300899006426	26.152960	false(unreach-call)	0.04672	0.05922503490000963	26.169344
