tool		GenMC SV-COMP fair-coverage adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP fair-coverage adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP fair-coverage adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP fair-coverage adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP fair-coverage adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP fair-coverage adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP fair-coverage adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP fair-coverage adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP fair-coverage adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP fair-coverage adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP fair-coverage adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP fair-coverage adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	Deagle 4.1.0	Deagle 4.1.0	Deagle 4.1.0	Deagle 4.1.0
run set		adapted-genmc.GenMC.unreach-call	adapted-genmc.GenMC.unreach-call	adapted-genmc.GenMC.unreach-call	adapted-genmc.GenMC.unreach-call	adapted-cat.GenMC+CAT.unreach-call	adapted-cat.GenMC+CAT.unreach-call	adapted-cat.GenMC+CAT.unreach-call	adapted-cat.GenMC+CAT.unreach-call	adapted-caat.GenMC+CAAT.unreach-call	adapted-caat.GenMC+CAAT.unreach-call	adapted-caat.GenMC+CAAT.unreach-call	adapted-caat.GenMC+CAAT.unreach-call	adapted-deagle.Deagle.unreach-call	adapted-deagle.Deagle.unreach-call	adapted-deagle.Deagle.unreach-call	adapted-deagle.Deagle.unreach-call
/workspace/experiments/fair-coverage/comparison-60s/final/raw/sv-benchmarks/c/		status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)
goblint-regression/13-privatized_01-priv_nr_true.yml	true	true	0.072880725	0.0803177630295977	25.739264	true	0.055894235	0.08910212496994063	25.755648	true	0.061150424	0.09297422901727259	25.817088	true	0.221812115	0.2530712329898961	11.104256
goblint-regression/13-privatized_04-priv_multi_true.yml	true	OUT OF MEMORY	14.33439222	14.502816455962602	3999.997952	TIMEOUT	61.057309048	61.10831192502519	1483.689984	TIMEOUT	61.016969286	61.059976437012665	775.192576	TIMEOUT	61.063422689	61.0116060480359	2500.751360
goblint-regression/13-privatized_18-first-reads_true.yml	true	true	0.071351114	0.07904777099611238	25.690112	true	0.054887682	0.14683821896323934	25.755648	true	0.05917272	0.139540517993737	25.772032	true	0.209078018	0.2610313789919019	11.022336
goblint-regression/13-privatized_18-first-reads_unknown_1_neg.yml	false	false(unreach-call)	0.07215614	0.07894908101297915	25.694208	false(unreach-call)	0.053256195	0.0784666960244067	25.841664	false(unreach-call)	0.059862948	0.08266841399017721	25.825280	false(unreach-call)	0.214390409	0.32532732002437115	11.100160
goblint-regression/13-privatized_18-first-reads_unknown_1_pos.yml	false	true	0.075336055	0.08023705799132586	25.694208	true	0.055505939	0.09531827695900574	25.800704	true	0.060992377	0.10724310495425016	25.800704	false(unreach-call)	0.210240093	0.3160127729643136	11.075584
goblint-regression/13-privatized_18-first-reads_unknown_2_neg.yml	false	true	0.070354367	0.07937754195882007	25.669632	true	0.052416766	0.08492643700446934	25.825280	true	0.059236192	0.08776616305112839	25.825280	false(unreach-call)	0.195335163	0.21375797502696514	11.124736
goblint-regression/13-privatized_18-first-reads_unknown_2_pos.yml	false	false(unreach-call)	0.067193361	0.08090898400405422	25.763840	false(unreach-call)	0.054128208	0.08026253501884639	25.817088	false(unreach-call)	0.060167264	0.11658852797700092	25.821184	false(unreach-call)	0.208533549	0.304837525007315	11.063296
goblint-regression/13-privatized_19-publish-precision_true.yml	true	true	0.073045857	0.0782100820215419	25.686016	true	0.055335238	0.08261738100554794	25.804800	true	0.063668808	0.10162382997805253	25.833472	true	0.213478684	0.25213798496406525	11.026432
