tool		TruSt-family LP64 adapter awamoche:GenMC (https://plv.mpi-sws.org/genmc):	TruSt-family LP64 adapter awamoche:GenMC (https://plv.mpi-sws.org/genmc):	TruSt-family LP64 adapter awamoche:GenMC (https://plv.mpi-sws.org/genmc):	TruSt-family LP64 adapter awamoche:GenMC (https://plv.mpi-sws.org/genmc):	TruSt-family LP64 adapter mixer:GenMC (https://plv.mpi-sws.org/genmc):	TruSt-family LP64 adapter mixer:GenMC (https://plv.mpi-sws.org/genmc):	TruSt-family LP64 adapter mixer:GenMC (https://plv.mpi-sws.org/genmc):	TruSt-family LP64 adapter mixer:GenMC (https://plv.mpi-sws.org/genmc):	TruSt-family LP64 adapter spore:GenMC (https://plv.mpi-sws.org/genmc):	TruSt-family LP64 adapter spore:GenMC (https://plv.mpi-sws.org/genmc):	TruSt-family LP64 adapter spore:GenMC (https://plv.mpi-sws.org/genmc):	TruSt-family LP64 adapter spore:GenMC (https://plv.mpi-sws.org/genmc):	TruSt-family LP64 adapter trust:GenMC (https://plv.mpi-sws.org/genmc):	TruSt-family LP64 adapter trust:GenMC (https://plv.mpi-sws.org/genmc):	TruSt-family LP64 adapter trust:GenMC (https://plv.mpi-sws.org/genmc):	TruSt-family LP64 adapter trust:GenMC (https://plv.mpi-sws.org/genmc):
run set		awamoche-rc11-census-all.awamoche-rc11-lp64.r01.unreach-call	awamoche-rc11-census-all.awamoche-rc11-lp64.r01.unreach-call	awamoche-rc11-census-all.awamoche-rc11-lp64.r01.unreach-call	awamoche-rc11-census-all.awamoche-rc11-lp64.r01.unreach-call	mixer-rc11-census-all.mixer-rc11-lp64.r01.unreach-call	mixer-rc11-census-all.mixer-rc11-lp64.r01.unreach-call	mixer-rc11-census-all.mixer-rc11-lp64.r01.unreach-call	mixer-rc11-census-all.mixer-rc11-lp64.r01.unreach-call	spore-rc11-census-all.spore-rc11-lp64.r01.unreach-call	spore-rc11-census-all.spore-rc11-lp64.r01.unreach-call	spore-rc11-census-all.spore-rc11-lp64.r01.unreach-call	spore-rc11-census-all.spore-rc11-lp64.r01.unreach-call	trust-rc11-census-all.trust-rc11-lp64.r01.unreach-call	trust-rc11-census-all.trust-rc11-lp64.r01.unreach-call	trust-rc11-census-all.trust-rc11-lp64.r01.unreach-call	trust-rc11-census-all.trust-rc11-lp64.r01.unreach-call
/Users/sujie/Documents/Codes/C++/GenMC/genmc/optimization-analysis/svcomp2026/remote-results/new-server/trust-family/sv-benchmarks/c/		status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)
goblint-regression/13-privatized_66-mine-W-init_true.yml	true	true	0.031393592	0.035431231022812426	10.129408	true	0.05629761	0.05974493199028075	24.182784	true	0.051167918	0.11548442201456055	24.084480	true	0.030095255	0.035949570999946445	9.601024
goblint-regression/36-apron_41-threadenter-no-locals_unknown_1_pos.yml	false	false(unreach-call)	0.025825232	0.03043416398577392	9.998336	false(unreach-call)	0.052251661	0.09918807295616716	24.014848	false(unreach-call)	0.051138882	0.10022251401096582	24.203264	false(unreach-call)	0.024213582	0.03069838002556935	9.605120
goblint-regression/36-apron_41-threadenter-no-locals_unknown_1_neg.yml	false	true	0.029389837	0.033294159977231175	9.998336	true	0.056428279	0.164645375974942	24.076288	true	0.05027859	0.1283688010298647	24.043520	true	0.029278987	0.03636704495875165	9.605120
goblint-regression/36-apron_16-traces-unprot2_true.yml	true	true	0.029420087	0.03320241702022031	10.010624	true	0.0490123	0.11141514603514224	24.018944	true	0.052190191	0.16372508701169863	24.141824	true	0.032638396	0.035339567984919995	9.609216
goblint-regression/13-privatized_57-singlethreaded-unlock_true.yml	true	true	0.024625777	0.027913560974411666	10.002432	true	0.055403106	0.13033274200279266	24.068096	true	0.052068035	0.17018077103421092	24.080384	true	0.022469919	0.03275399102130905	9.613312
goblint-regression/13-privatized_47-refine-protected2_true.yml	true	true	0.031281839	0.03631443600170314	10.006528	true	0.049634438	0.07690883002942428	24.068096	true	0.051486872	0.12590684700990096	24.125440	true	0.029812138	0.03089837997686118	9.543680
goblint-regression/13-privatized_46-refine-protected1_true.yml	true	true	0.029517774	0.03615995199652389	10.006528	true	0.061410108	0.08132889901753515	24.084480	true	0.052470721	0.07735022902488708	24.141824	true	0.027688549	0.030516124970745295	9.613312
goblint-regression/36-apron_11-traces-max-simple_true.yml	true	true	0.029852591	0.034637656004633754	10.031104	true	0.04883341	0.07043958001304418	24.141824	true	0.048776239	0.07204486202681437	24.068096	true	0.030274743	0.03228605602635071	9.613312
